aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF18absrlhv3053335895015",true,64.541799,false,"",0.17930258810520172,100,0.026223252546885723,"",2,false,1,19.602575302124023,17.515325300058045,60807.33589120023,"ZTF18absrlhv",3080413295015015000,3053335895015,252.4097646,"","ztf",0.08013299852609634,0.1147570013999939,4.257999897003174,0.11038000136613846,0.00001686080031504389,64.54180145263672,19.400699615478516,0.2650560736656189,30,824,17.687000274658203,26.255800247192383,0.03349500149488449,0.000010556300367170479,"0",1,252.4095916748047,50,824120250,199.44000244140625,2.558500051498413,13.966300010681152,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv3057294245015",true,64.541799,false,"",0.08081863820552826,100,0.01525088129757389,"",2,false,1,19.270488739013672,17.45994727034824,60811.2942476999,"ZTF18absrlhv",3080413295015015000,3057294245015,252.4097646,"","ztf",0.08207199722528458,0.10655400156974792,4.257999897003174,0.10381700098514557,0.000009430519639863633,64.54180145263672,19.88800048828125,0.2650560736656189,30,824,17.687000274658203,26.23979949951172,0.025211699306964874,0.000005988500106468564,"0",1,252.4095916748047,50,824120250,197.4080047607422,2.123500108718872,10.300399780273438,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv3021465795015",true,64.5418126,false,"",0.09667090326547623,0.013396900712857552,0.030932542153663135,"",1,false,1,19.262508392333984,18.025307984588547,60775.46579860011,"ZTF18absrlhv",3049431015015015000,3021465795015,252.4096931,"","ztf",0.07791300117969513,0.10157600045204163,3.934999942779541,-0.016363399103283882,0.00002713469984882977,64.54180145263672,19.881200790405273,0.07861997932195663,30,824,18.444000244140625,26.27589988708496,0.03821239992976189,0.000015239400454447605,"0",1,252.40965270996094,50,824120150,196.66900634765625,1.9507999420166016,12.411800384521484,0.16300000250339508,0.04100000113248825
"","ZTF18absrlhv2557523215015",true,64.5417758,false,"",0.07049400359392166,100,0.01595081423352091,"",2,false,1,19.021894454956055,17.40847115708814,60311.52321759984,"ZTF18absrlhv",2561553495015015000,2557523215015,252.4097748,"","ztf",0.07941100001335144,0.09260299801826477,4.257999897003174,0.10560200363397598,0.000009216500075126532,64.54180145263672,19.83639907836914,0.2953404486179352,30,824,17.687000274658203,26.237699508666992,0.024909399449825287,0.000005806799890706316,"0",1,252.4095916748047,50,824120250,199.22300720214844,2.161900043487549,10.791199684143066,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv2597410113315",true,64.5418372,false,"",100,100,100,"",1,false,-1,100,100,60351.410115700215,"ZTF18absrlhv",2597436446215015000,2597410113315,252.4096265,"","ztf",0.09275200217962265,0.10109300166368484,-99999,-0.04081379994750023,0.000020837800548179075,-99999,19.993999481201172,-99999,30,824,-99999,26.181800842285156,0.033995699137449265,0.00001144700036093127,"61",1,-99999,33,824120133,185.82899475097656,2.805999994277954,6.8673200607299805,-99999,-99999
"","ZTF18absrlhv2597508843315",true,64.54183,false,"",100,100,100,"",2,false,-1,100,100,60351.508842600044,"ZTF18absrlhv",2597509796215015000,2597508843315,252.4097647,"","ztf",0.08063200116157532,0.10346399992704391,-99999,0.11351700127124786,0.000010363400178903248,-99999,20.087900161743164,-99999,30,824,-99999,26.287200927734375,0.02616569958627224,0.000006307100193225779,"61",1,-99999,33,824120233,209.8769989013672,2.5648000240325928,7.501100063323975,-99999,-99999
"","ZTF18absrlhv2599493006215",true,64.5418236,false,"",0.06384745240211487,100,0.0179888598399818,"",1,false,1,19.4250431060791,18.049693268538086,60353.49300929997,"ZTF18absrlhv",2599507625015015000,2599493006215,252.4097062,"","ztf",0.07081399857997894,0.09934800118207932,4.1579999923706055,-0.044415898621082306,0.000019136299670208246,64.54180908203125,20.40060043334961,0.11631705611944199,30,825,18.409000396728516,26.196399688720703,0.03471669927239418,0.000011676100257318467,"0",1,252.40963745117188,62,825120162,91.8584976196289,2.2725000381469727,5.840449810028076,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2597509796015",true,64.5418236,false,"",100,100,100,"",2,false,-1,100,100,60351.50979170017,"ZTF18absrlhv",2599507625015015000,2597509796015,252.4097062,"","ztf",0.084586001932621,0.09888099879026413,-99999,0.10287799686193466,0.000011782300134655088,-99999,19.996000289916992,-99999,30,825,-99999,26.1200008392334,0.026875199750065804,0.000007051499778754078,"61",1,-99999,60,825120260,179.56700134277344,2.6547000408172607,6.9379401206970215,-99999,-99999
"","ZTF18absrlhv2597509796115",true,64.5417993,false,"",100,100,100,"",2,false,-1,100,100,60351.50979170017,"ZTF18absrlhv",2601467655015015000,2597509796115,252.409762,"","ztf",0.0818530023097992,0.10033699870109558,-99999,0.09727369993925095,0.00001337429966952186,-99999,19.871299743652344,-99999,30,825,-99999,26.026100158691406,0.02522430010139942,0.000008423799954471178,"61",1,-99999,61,825120261,162.9510040283203,2.6879000663757324,6.974209785461426,-99999,-99999
"","ZTF18absrlhv2601467653315",true,64.5419395,false,"",100,100,100,"",2,false,-1,100,100,60355.467650500126,"ZTF18absrlhv",2601468616215015000,2601467653315,252.4098511,"","ztf",0.08136399835348129,0.0939989984035492,-99999,0.11206600069999695,0.0000097329102572985,-99999,20.152799606323242,-99999,30,824,-99999,26.274700164794922,0.025122499093413353,0.0000058935997913067695,"61",1,-99999,33,824120233,206.26100158691406,2.76990008354187,6.598410129547119,-99999,-99999
"","ZTF18absrlhv2601468616215",true,64.5417771,false,"",0.09025748819112778,100,0.015054787504989895,"",2,false,1,19.405397415161133,17.460875881935685,60355.46861110022,"ZTF18absrlhv",2601507996215015000,2601468616215,252.4097994,"","ztf",0.08191099762916565,0.10861100256443024,3.872999906539917,0.10979100316762924,0.000010752600246632937,64.54183197021484,19.951900482177734,0.36849334836006165,30,825,17.659000396728516,26.109699249267578,0.026502400636672974,0.000006799200036766706,"0",1,252.40960693359375,62,825120262,178.41400146484375,3.1821999549865723,6.144179821014404,0.3610000014305115,0.054999999701976776
"","ZTF18absrlhv2625327635015",true,64.5418616,false,"",0.05954644829034805,100,0.01495993817833197,"",2,false,1,18.872684478759766,17.37286931918883,60379.32763889991,"ZTF18absrlhv",2625369035015015000,2625327635015,252.4097169,"","ztf",0.07703399658203125,0.09579099714756012,4.257999897003174,0.10411500185728073,0.00001075349973689299,64.54180145263672,19.891000747680664,0.28921881318092346,30,824,17.687000274658203,26.0039005279541,0.026836900040507317,0.000006720300007145852,"0",1,252.4095916748047,50,824120250,159.43699645996094,1.6901999711990356,10.236700057983398,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv2609389886215",true,64.5418366,false,"",0.49896565079689026,0.11908803939771391,0.12284584552470314,"",1,false,1,19.62391471862793,18.102139279540147,60363.389884300064,"ZTF18absrlhv",2615430396215015000,2609389886215,252.4098241,"","ztf",0.10294300317764282,0.12975899875164032,4.1579999923706055,-0.04646199941635132,0.00026584300212562084,64.54180908203125,18.25119972229004,0.30190297961235046,30,825,18.409000396728516,25.7593994140625,0.04864560067653656,0.00010225299774901941,"0",1,252.40963745117188,62,825120162,59.45840072631836,3.8069000244140625,18.14229965209961,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2601509913315",true,64.5418366,false,"",100,100,100,"",1,false,-1,100,100,60355.50991899986,"ZTF18absrlhv",2615430396215015000,2601509913315,252.4098241,"","ztf",0.08651900291442871,0.09622400254011154,-99999,-0.08089710026979446,0.000017878099242807366,-99999,20.525999069213867,-99999,30,824,-99999,26.273000717163086,0.033677298575639725,0.000010652600394678302,"61",1,-99999,33,824120133,203.572998046875,2.57069993019104,5.307069778442383,-99999,-99999
"","ZTF18absrlhv2601507996215",true,64.5418735,false,"",0.07275181263685226,100,0.019544460252755164,"",1,false,1,19.496370315551758,18.069319972803555,60355.50799770001,"ZTF18absrlhv",2615470755015015000,2601507996215,252.4096056,"","ztf",0.07934600114822388,0.1005140021443367,4.1579999923706055,-0.05262190103530884,0.00001777949910319876,64.54180908203125,20.357900619506836,0.24463927745819092,30,825,18.409000396728516,26.206300735473633,0.03307250142097473,0.000010640899745339993,"0",1,252.40963745117188,62,825120162,92.80439758300781,2.7767999172210693,5.2306599617004395,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2615470753315",true,64.5418198,false,"",100,100,100,"",1,false,-1,100,100,60369.47075230023,"ZTF18absrlhv",2615494546215015000,2615470753315,252.4096999,"","ztf",0.06817500293254852,0.09737099707126617,-99999,-0.04137840121984482,0.000018961000023409724,-99999,20.124900817871094,-99999,30,824,-99999,26.256000518798828,0.03336149826645851,0.000010711400136642624,"61",1,-99999,33,824120133,202.1959991455078,1.8508000373840332,9.328920364379883,-99999,-99999
"","ZTF18absrlhv2615431363315",true,64.5418198,false,"",100,100,100,"",2,false,-1,100,100,60369.43136569997,"ZTF18absrlhv",2615494546215015000,2615431363315,252.4096999,"","ztf",0.0710659995675087,0.09873399883508682,-99999,0.11584699898958206,0.000012845300261687953,-99999,20.28380012512207,-99999,30,824,-99999,26.261600494384766,0.028787000104784966,0.000007739099601167254,"61",1,-99999,33,824120233,205.7259979248047,1.4851000308990479,8.929070472717285,-99999,-99999
"","ZTF18absrlhv2615494546215",true,64.5418139,false,"",0.06018773466348648,100,0.02082584725129309,"",1,false,1,19.100183486938477,17.947920189381282,60369.49454860017,"ZTF18absrlhv",2625327635015015000,2615494546215,252.409622,"","ztf",0.06558199971914291,0.0975480005145073,4.1579999923706055,-0.04420839995145798,0.000016072599464678206,64.54180908203125,20.11750030517578,0.03816442936658859,30,825,18.409000396728516,26.210100173950195,0.030636899173259735,0.000009456000043428503,"0",1,252.40963745117188,62,825120162,94.23690032958984,1.9057999849319458,8.550169944763184,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2625327634815",true,64.5419485,false,"",100,100,100,"",2,false,-1,100,100,60379.32763889991,"ZTF18absrlhv",2629429526215015000,2625327634815,252.4096569,"","ztf",0.08244899660348892,0.10371299833059311,-99999,0.09643709659576416,0.000015709099898231216,-99999,19.723400115966797,-99999,30,824,-99999,25.76919937133789,0.030609900131821632,0.000009449499884794932,"61",1,-99999,48,824120248,140.13900756835938,1.5871000289916992,8.458080291748047,-99999,-99999
"","ZTF18absrlhv2615431365115",true,64.5419485,false,"",100,100,100,"",2,false,-1,100,100,60369.43136569997,"ZTF18absrlhv",2629429526215015000,2615431365115,252.4096569,"","ztf",0.07130999863147736,0.08973599970340729,-99999,0.09708169847726822,0.000012079400221409742,-99999,20.134300231933594,-99999,30,824,-99999,26.145299911499023,0.028466299176216125,0.000007014799848548137,"61",1,-99999,51,824120251,198.0970001220703,1.6658999919891357,9.676910400390625,-99999,-99999
"","ZTF18absrlhv2625369035015",true,64.5418362,false,"",0.06534583121538162,100,0.023174533981812406,"",1,false,1,19.09401512145996,17.96849792890858,60379.369039400015,"ZTF18absrlhv",2634433505015015000,2625369035015,252.4097014,"","ztf",0.09903399646282196,0.10540799796581268,3.934999942779541,-0.030507899820804596,0.000041406499803997576,64.54180145263672,20.08099937438965,0.14712494611740112,30,824,18.444000244140625,26.087400436401367,0.048168398439884186,0.0000234850995184388,"0",1,252.40965270996094,50,824120150,163.85400390625,2.8587000370025635,7.08588981628418,0.16300000250339508,0.04100000113248825
