aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.6853,1,58336.23921300005,"ZTF18absrlhv","","ztf"
"",20.5257,1,58337.36454859981,"ZTF18absrlhv","","ztf"
"",19.4103,1,58340.34417819977,"ZTF18absrlhv","","ztf"
"",20.6089,1,58343.1759722,"ZTF18absrlhv","","ztf"
"",20.5829,1,58343.31185190007,"ZTF18absrlhv","","ztf"
"",20.0846,1,58346.15363429999,"ZTF18absrlhv","","ztf"
"",20.5151,1,58346.3271643999,"ZTF18absrlhv","","ztf"
"",20.2133,1,58349.17972220015,"ZTF18absrlhv","","ztf"
"",20.1991,1,58349.220393499825,"ZTF18absrlhv","","ztf"
"",20.0613,1,58352.182164399885,"ZTF18absrlhv","","ztf"
"",19.7612,1,58352.348217600025,"ZTF18absrlhv","","ztf"
"",19.0823,1,58359.14469909994,"ZTF18absrlhv","","ztf"
"",20.597,1,58362.196411999874,"ZTF18absrlhv","","ztf"
"",20.4092,1,58362.25697920006,"ZTF18absrlhv","","ztf"
"",19.453,1,58480.51049769996,"ZTF18absrlhv","","ztf"
"",18.8666,1,58502.45039349981,"ZTF18absrlhv","","ztf"
"",18.7152,1,58505.470694399904,"ZTF18absrlhv","","ztf"
"",19.301,1,58509.55446759984,"ZTF18absrlhv","","ztf"
"",18.7455,1,58575.49359950004,"ZTF18absrlhv","","ztf"
"",15.7735,1,58589.455694399774,"ZTF18absrlhv","","ztf"
"",20.9869,1,58660.19964119978,"ZTF18absrlhv","","ztf"
"",20.8332,1,58660.200127299875,"ZTF18absrlhv","","ztf"
"",20.7956,1,58662.221527799964,"ZTF18absrlhv","","ztf"
"",20.7319,1,58662.22515049996,"ZTF18absrlhv","","ztf"
"",20.6125,1,58663.22297450015,"ZTF18absrlhv","","ztf"
"",19.4422,1,58680.185034700204,"ZTF18absrlhv","","ztf"
"",20.638,1,58694.30645829998,"ZTF18absrlhv","","ztf"
"",19.7991,1,58707.22394679999,"ZTF18absrlhv","","ztf"
"",19.7471,1,58711.209560200106,"ZTF18absrlhv","","ztf"
"",19.0482,1,58713.2178588002,"ZTF18absrlhv","","ztf"
"",17.2671,1,58721.294999999925,"ZTF18absrlhv","","ztf"
"",16.937,1,58721.29548610002,"ZTF18absrlhv","","ztf"
"",20.1776,1,58727.31569440011,"ZTF18absrlhv","","ztf"
"",18.9288,1,58737.311805599835,"ZTF18absrlhv","","ztf"
"",19.4033,1,58739.179166700225,"ZTF18absrlhv","","ztf"
"",19.1556,1,58739.18593750009,"ZTF18absrlhv","","ztf"
"",19.6299,1,58741.180717600044,"ZTF18absrlhv","","ztf"
"",19.7557,1,58765.173101900145,"ZTF18absrlhv","","ztf"
"",18.7044,1,58767.16730319988,"ZTF18absrlhv","","ztf"
"",18.7002,1,58767.16916669998,"ZTF18absrlhv","","ztf"
